12-20 08:32:20.789 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 17.0.9 with PID 16796 (C:\Users\HX\IdeaProjects\SpringBoot\SpringBootDemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
23-12-20 11:36:13.383 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23-12-20 11:36:13.383 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 641 ms
23-12-20 11:36:13.631 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23-12-20 11:36:13.664 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23-12-20 11:36:13.672 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Started SpringBootDemo4Application in 1.274 seconds (JVM running for 1.848)
23-12-20 11:36:22.881 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23-12-20 11:36:22.881 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23-12-20 11:36:22.882 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
23-12-20 11:36:22.912 [http-nio-8080-exec-1] INFO  c.i.springbootdemo4.controller.PrintLogController - 郭家旗打印日志！调用printLog方法！
23-12-20 16:57:18.562 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 21.0.1 on LAPTOP-MVCHB40V with PID 8384 (C:\Users\HX\IdeaProjects\SpringBoot\springbootdemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
23-12-20 16:57:18.565 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - No active profile set, falling back to default profiles: default
23-12-20 16:57:19.287 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23-12-20 16:57:19.297 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23-12-20 16:57:19.297 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23-12-20 16:57:19.298 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
23-12-20 16:57:19.375 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23-12-20 16:57:19.375 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 765 ms
23-12-20 16:57:19.677 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23-12-20 16:57:19.732 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23-12-20 16:57:19.742 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Started SpringBootDemo4Application in 1.477 seconds (JVM running for 2.313)
